Username,Artist,Album,Spotify
Bob Clarke,Bone Crew,Manifest,https://open.spotify.com/album/3m98vu4Xe2X7rTS78gUzNO?si=d_lgX-l1SuWiy3bjq1kDXQ&dl_branch=1
John,Stone Temple Pilots,Core,https://open.spotify.com/album/5kxuokOacguIqDJRh1ZXRC?si=lslXj0f8QU6gzWELOZdpTQ&utm_source=copy-link&dl_branch=1
Bob Clarke,Daft Punk,Discovery,https://open.spotify.com/album/2noRn2Aes5aoNVsU6iWThc?si=ojxjK4A3R4uRvwf82HgB4w&utm_source=copy-link&dl_branch=1
Shawn / Project,Serj Tankian,Elect The Dead,https://open.spotify.com/album/4QxqpP6peduwboJWJDOO9H?si=VxOIo94STh2UFxHIBP9Iyg&utm_source=copy-link&dl_branch=1
Shawn / Project,Viza,Made in Chernobyl,https://open.spotify.com/album/3FRtZRHc6B5WpnLadUFfL0?si=x5QIV9z8Rc6FK2WIR-s1pg&utm_source=copy-link&dl_branch=1
Hannibal,Billy Talent,Billy Talent II,https://open.spotify.com/album/0cTOvcvrbNiaiv4WXEUHzT?si=haEYh7WfSR6Ica-J8-Sd2A&dl_branch=1
Shawn / Project,Sonata Arctica,Unia,https://open.spotify.com/album/3jKq3ckEriYmq6BCzbNBiL
IWearTheShpants,Plini,Handmade Cities,https://open.spotify.com/album/36vGWMFViWBpBB4npwmusv?si=KJcOixtlSeKmIVAbNuULPQ&dl_branch=1
IWearTheShpants,Leprous,Malina,https://open.spotify.com/album/0DvboP39IwpnJU9QrKIpDW?si=E_lIHx2rRmOAPR9oYwg8IA&dl_branch=1
IWearTheShpants,Eiffel 65,Europop,https://open.spotify.com/playlist/1E7RxKqoWtZEgOknWvhWmA?si=2dc314d83d76434d
Bob Clarke,The Rolling Stallones,Vol. 4: Like Life Depends on it,https://open.spotify.com/album/58T5mrih3QPLpyRl6JpxGo?si=GTOgymhiSEO-yPHuikYgDA&dl_branch=1
Lateworm,Rolling Stones,Let It Bleed,https://open.spotify.com/album/4l4u9e9jSbotSXNjYfOugy?si=EZqhpGP0Tvyo2ArqjxQZKg&dl_branch=1
Bob Clarke,Devin Townsend,Empath,https://open.spotify.com/album/7MPJRyMFbWbgezRP2Pj4TZ?si=XnCQoZ10Q7mTsdZaehHb5Q&dl_branch=1
VonGrims,BloodBound,Nosferatu,https://open.spotify.com/album/7bw6R2kPVyTRru6808YbIX?si=x6J7Bvx6TAG-1moPtc_5ZA&dl_branch=1
VonGrims,Five FInger Death Punch/FFDP,"F8 (pronounced ""Fate"")",https://open.spotify.com/album/7vAcymF4feKxvqcUDzLQD2?si=8RPC101PROeVkY2sTggr4A&dl_branch=1
VonGrims,Arch Enemy,will to power,https://open.spotify.com/album/1HimPrGurKic1hNOSidwF2?si=zH2wBJCERc2vRW0Xig1CYg&dl_branch=1
Oneguy83,Red Hot Chili Peppers,Californication,https://open.spotify.com/album/2Y9IRtehByVkegoD7TcLfi?si=-arXHW1kRxWvSyhOAUC8Xw&dl_branch=1
Oneguy83,Disturbed,Immortalized,https://open.spotify.com/album/1ROVEUk4lc2vD4a0IN1TWS?si=njDodQrCThKOIQ2HKlWXoQ&dl_branch=1
Jamie,Deftones,Around the Fur,https://open.spotify.com/album/7o4UsmV37Sg5It2Eb7vHzu?si=NTjOFtKBQkGvRxh9sgUYTA&dl_branch=1
Mikael,Ghost,Prequelle,https://open.spotify.com/album/1KMfjy6MmPorahRjxhTnxm?si=g6bhU-50QGaC8CnxSJYZvw&dl_branch=1
OneGuy83,Enthogenic,Kykeon,https://open.spotify.com/album/0qKvJEUpgVRhAjNL6Jg83n?si=B8O8YRneTFWqndhuHgUaUw&dl_branch=1
Lateworm,Art Napolen,Creeland Covers,https://open.spotify.com/album/2lvghAkoGgKyqTFKGvYhtB?si=A8QrVccAQZy0v2zNJ3dgYg&dl_branch=1
Lateworm,Robbie Robertson,Robbie Robertson,Lateworm
Lateworm,Art Napoleon,Miyoskamin,https://open.spotify.com/album/6bkpdo0FS3lakun4XAiRcd?si=KJSnTKzRQPCsQPRO0VqHyg&dl_branch=1
VonGrims,Orden Ogan,Gun men,https://open.spotify.com/album/4yyNmVBMtdAcCTo51u4hvz?si=YJdFxlVrQOepG8O-Ew8vkw&utm_source=copy-link&dl_branch=1
Bob Clarke,Rob Zombie,Hellbilly deluxe,https://open.spotify.com/album/2B4lHoTCpWbxQPTZmCOjnH?si=Aa7A8jGpRmeCWadjJS-A9w&utm_source=copy-link&dl_branch=1
Bob Clarke,Halsey,If I cant have love I'll take power?,https://open.spotify.com/album/3sq0hRtlT2SYeYajr5Cx22?si=D37y1T8BQluUW9ZRSH9eXg&utm_source=copy-link&dl_branch=1
IWearTheShpants,Pomme,À peu près,https://open.spotify.com/album/65JwIioaq6D5ExpRdtYpCM?si=gkwk4wneRi6kO9HHe_6iQw
VonGrims,Turisas,Stand Up and Fight,https://open.spotify.com/album/2fjpx53vlf2xrg8RRYOjK7?si=iSEpZ4HBTcmM9hbBP8Id4w
Mikael,The Mars Volta,Deloused in the Comatorium,https://open.spotify.com/album/0CA2EVHhRPR5VPV78KZw89?si=68asqP-YSCeOUFz5snyOcw
Mikael,öOoOoOoOoOo,Samen,https://open.spotify.com/album/6fqqtVc8gRBPLuszq9BTl4?si=BrfMo-hjSlCF8GTZ4t5TXw
Mikael,Troldhaugen,Idio+syncrasies,https://open.spotify.com/album/10JK6pvcQrXF5gCB11LVK8?si=W2AafQCuSdSzToipZMU2eg
Mikael,Marilyn Manson,Holy Wood,https://open.spotify.com/album/3stFLIWyYH4a8u0bdxDopt?si=XbnpcCnXQouF8CUHwDY8Ew
IWearTheShpants,Brendan Dalton & The 1740 Boys Choir,Christmas in Middle-Earth,https://open.spotify.com/album/5dhwDnIufW1vdorSYQGGpc?si=F-XJ4A7TQnKM335aY2OrJA&utm_source=copy-link
Clintiffer,The Tragically Hip,Fully Completely,Don’t have it  :/
VonGrims,Horizon Ignited,After the Storm,https://open.spotify.com/album/1O6VIm91oHJNt9W7fYx2hj?si=kmgQO-12SlyuSSbMJZJtpA
VonGrims,Tyr,Hel,https://open.spotify.com/album/4lhDKkNmLDgGS9LZWMwpHU?si=-FO8lmDgTzqblsDloUhkQw
Bob Clarke,Mushroomhead,XX,https://open.spotify.com/album/2YeONO6X69sNRTxuMCwWTx?si=xs4eoPW2R1ixl0J54Gf-FA&utm_source=copy-link
Lateworm,Booker T & The MGs,Green Onions,https://open.spotify.com/album/2AOgUnt5BJPL7NnZGj82DW?si=1gwgUav2SK-HAXmpT3uK0w
Lateworm,Booker T & The MGs,Melting Pot,https://open.spotify.com/album/75TzwEVGXEdWHu4XjOuRF8?si=iZ5e08ZoTJySgAArCClPBg
VonGrims,Soilwork,verkligheten,https://open.spotify.com/album/1bKXTR40NIO0RrsIlFQyTr?si=fyl57PVsSISQHWFA-rHzaw
Ron LaFlame,Bobby Darin,That’s all,https://open.spotify.com/album/5MsJK0kqiYIJDmd3cjkGMn?si=3x1Ylf8wRPuOuZHSU9dp1Q
Van,Nina Simone,Pastel Blues,https://open.spotify.com/album/31pd81sWDaK2pP3ok5892z?si=S-g18601Q_GZAYDPb9k1uA
serialkvetcher,Frank Sinatra,Strangers in the night,https://open.spotify.com/album/1kyb5tomEXcA106V57puFW?si=r4Q72mgVRg2hGdjaVjlFOw
IWearTheShpants,Jorn Lande and Trond Holter,Dracula - Swing of Death,https://open.spotify.com/album/7vcqgOcEX03piPN7KdKjZ9?si=cHu_xzf-SxGyiLiHn8lsNA
Lateworm,Marianne Faithfull,Rich Kid Blues,https://open.spotify.com/album/7m06IfHTHIxJHPlOrCybrk?si=lbAe0AP0QD-TT6yFv1f-tw
Lateworm,Marianne Faithfull,Broken English,https://open.spotify.com/album/1tINec0tqqLA63vxQUCgYS?si=DfppgiPVTaaIq9FOK4ZJCw
Lateworm,Elvis Costello,My Aim is True,https://open.spotify.com/album/3d3I3Ppu529si8Oja9DB3A?si=N1HSID8iT2yvCdIuBEn0Fw
Lateworm,The Dead 60s,The Dead 60s,https://open.spotify.com/album/0WfWAS3mVMBkQ3VNLwRkEW?si=zCemx684QgCOYbP5FiZOdw
Lateworm,Eddie Vedder,Into The Wild,https://open.spotify.com/album/13xlpKbai3GGoMSr75lOeX?si=Pjf6AXJ_TWunHKGzD6qheg
Lateworm,Van Morrison,Moondance,https://open.spotify.com/album/5PfnCqRbdfIDMb1x3MPQam?si=K0tpjlQ8TLWNoucXc_1uZA
Lateworm,CSS,Cansei de ser Sexy,https://open.spotify.com/album/4hE0UliYSCQiItKmKRDBaD?si=5MWhKW2VSVOVafeMPjFsFg
Lateworm,Gossip,Standing in the Way of Control,https://open.spotify.com/album/7kT3bu386sQNmb8C6GS1Dr?si=KFx5Iq24SxmSq8lCLTa0pA
Lateworm,Glenn gould,Goldberg Variations,https://open.spotify.com/album/1aCpHSQE5ghxibsQ5gkBe0?si=yJGDs-YsQ7OJL_Bk4Kzx_A
Lateworm,Art Bergmann,Sexual Roulette,https://open.spotify.com/album/0S6GQhxPa4EC7Yr7DNuYGJ?si=OCgGc-vjRs6PRy4IWmZFvw
Lateworm,Paul Simon,Graceland,https://open.spotify.com/album/4WoQ94qzwQj28n3nlSOVLB?si=2DtfyM4iRUmyoFhJkafWmQ
Lateworm,Nick Drake,Bryter Layter,https://open.spotify.com/album/04FfqGvZJ9oUBGRVrq2FE5?si=7_SwBwBvTbm3YRE0pLCeag
Lateworm,Brian Eno,Another Green World,https://open.spotify.com/album/6uoeezh45SYEb8lcT8gDTY?si=ONSSkw6VQ1Scbb3CnXtsag
Lateworm,Uriah Heep,Demons & Wizards,https://open.spotify.com/album/5OGPphsycPCeEcJlxKnt0l?si=g9-U59bWTFORXnBnpF8qiw
Lateworm,"Arne Domnérus, Bengt Hallberg, Lars Erstrand, Georg Riedel, Egil Johansen",Jazz at the Pawnshop,https://open.spotify.com/album/2n9hb7Ja1ZheONALLfSLVq?si=MEtDuE3kTt2oMuhR2pl_qQ
Lateworm,Max Richter,Four Seasons Recomposed,https://open.spotify.com/album/0JBT8Sw5eGWC86DCrobOfY?si=264jCw0tRSW4CDrqiyFWUA
IWearTheShpants,(Arjen Anthony Lucassen's) Star One,Revel In Time,https://open.spotify.com/album/59eeYsYn4KBOtOtAPCESVW?si=VuG5YwVMRw2ARWC_JkBJAw
IWearTheShpants,Immortal Guardian,Psychosomatic,https://open.spotify.com/album/3cTbnbj4OI8nEaZc45D5RE?si=QtPu_-g4SOWt-RjFfHwxjw
ethereal333 (Eva),Soviet Soviet,Fate,https://open.spotify.com/album/03ti9fj1guEvPZdYTAQ05D?si=gFW7L_hRR36-lDooSUaGmg
VonGrims,Amon Amarth,Twilight of the thunder god,https://open.spotify.com/album/3j0GCUTDz53x9Mzl8L1Fwz?autoplay=true
Mahnogard,Il Maniscalco Maldestro,il maniscalco maldestro,https://open.spotify.com/album/5VICFcdyzIZD1DXfx5rOe3?si=TKkWIhgcTXGaBx-f74XTRg
Mahnogard,Yma Sumac,Voice of the Xtabay,https://open.spotify.com/album/5TLvtlVdvfCXoVbZXXlbQw?si=D2gvty0fRNW3R4JmQuWWJg
Malt,Wishbone Ash,Argus,https://open.spotify.com/album/7xEluvnbmFtRB5g66CJ2ND?si=SBJDOkl6RzqXvbO6jLALiQ
April Rose,Faith No More,The Real Thing,https://open.spotify.com/album/6LEP3L94jnkqjOxYJWPRP0?si=TWvdNfRrSo-MOy7xNpdKwg
Dbbzzz,Verissimus,The Great Empire,https://open.spotify.com/album/5WAsrILRuYKbPe7mpPRICG?si=L1OeFsaIRdi1OFvv2WaaOw
Mahnogard,Twin Temple,Twin Temple (Bring You Their Signature Sound... Satanic Doo-Wop),https://open.spotify.com/album/5wopjMxpL3Bq6UE3oZ9Sun?si=byA58eqSSvGjgYRvLbtcwg
